GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|54121|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|003|All firms|97512||61117315||100||26104086||6007695||966533|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54121|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|470||12208048||20||4745406||1044510||154655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54121|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|758||22004923||36||7973280||1808971||223002|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54121|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|1646||27108366||44.4||10388306||2417617||374120|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54121|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1834||29564689||48.4||11537993||2683981||415930|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541211|Offices of certified public accountants|T|Taxable establishments|1997|Reference year 1997|003|All firms|53651||38601265||100||15167282||3427274||389340|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541211|Offices of certified public accountants|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|364||10483754||27.2||3700853||808366||70752|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541211|Offices of certified public accountants|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|613||15962993||41.4||5217013||1212540||109830|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541211|Offices of certified public accountants|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|773||17076469||44.2||5573615||1301805||117885|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541211|Offices of certified public accountants|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|938||17880729||46.3||5945552||1391814||126229|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541213|Tax return preparation services|T|Taxable establishments|1997|Reference year 1997|003|All firms|12830||2184210||100||760170||279420||147698|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541213|Tax return preparation services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|569||0|D|0|D|0|D|0|D|0|l
01000US|United States|1|United States|54|Professional, scientific, and technical services|541213|Tax return preparation services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|731||0|D|0|D|0|D|0|D|0|l
