GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|22|Utilities|2212101|Natural gas transmission & distribution (distribution)|1997|Reference year 1997|804|4 largest firms|99||8182364||44.8||478681||116665||8925|
01000US|United States|1|United States|22|Utilities|2212101|Natural gas transmission & distribution (distribution)|1997|Reference year 1997|808|8 largest firms|273||12338947||67.5||867132||221845||16092|
01000US|United States|1|United States|22|Utilities|2212101|Natural gas transmission & distribution (distribution)|1997|Reference year 1997|820|20 largest firms|644||16919286||92.6||1415589||349020||26706|
01000US|United States|1|United States|22|Utilities|2212101|Natural gas transmission & distribution (distribution)|1997|Reference year 1997|850|50 largest firms|702||18257098||99.9||1533135||381003||29008|
01000US|United States|1|United States|22|Utilities|2212102|Natural gas distribution|1997|Reference year 1997|003|All firms|1682||87105150||100||2955079||747581||62795|
01000US|United States|1|United States|22|Utilities|2212102|Natural gas distribution|1997|Reference year 1997|804|4 largest firms|154||34731177||39.9||359405||88288||6549|
01000US|United States|1|United States|22|Utilities|2212102|Natural gas distribution|1997|Reference year 1997|808|8 largest firms|376||46721961||53.6||740694||188996||16072|
01000US|United States|1|United States|22|Utilities|2212102|Natural gas distribution|1997|Reference year 1997|820|20 largest firms|519||63270537||72.6||1327410||345085||26983|
01000US|United States|1|United States|22|Utilities|2212102|Natural gas distribution|1997|Reference year 1997|850|50 largest firms|870||76600104||87.9||2255192||576346||46776|
01000US|United States|1|United States|22|Utilities|2212103|Mixed, manufactured, or LP gas pro &/or dist (natural gas dist)|1997|Reference year 1997|003|All firms|86||0|D|0|D|0|D|0|D|0|g
01000US|United States|1|United States|22|Utilities|2212103|Mixed, manufactured, or LP gas pro &/or dist (natural gas dist)|1997|Reference year 1997|804|4 largest firms|4||0|D|0|D|0|D|0|D|0|e
01000US|United States|1|United States|22|Utilities|2212103|Mixed, manufactured, or LP gas pro &/or dist (natural gas dist)|1997|Reference year 1997|808|8 largest firms|9||0|D|0|D|0|D|0|D|0|e
01000US|United States|1|United States|22|Utilities|2212103|Mixed, manufactured, or LP gas pro &/or dist (natural gas dist)|1997|Reference year 1997|820|20 largest firms|29||0|D|0|D|0|D|0|D|0|f
