GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211203|Petroleum products marketing equipment whsle|1997|Reference year 1997|850|50 largest firms|103||789518||55.1||67057||15697||1606|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42113|Tire & tube whsle|1997|Reference year 1997|003|All firms|1939||16508934||100||782893||183257||22939|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42113|Tire & tube whsle|1997|Reference year 1997|804|4 largest firms|104||8481710||51.4||145935||38765||2991|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42113|Tire & tube whsle|1997|Reference year 1997|808|8 largest firms|181||10395246||63||239508||59551||5063|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42113|Tire & tube whsle|1997|Reference year 1997|820|20 largest firms|261||11705726||70.9||295467||72672||6619|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42113|Tire & tube whsle|1997|Reference year 1997|850|50 largest firms|367||12873203||78||390347||94633||9168|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421130|Tire & tube whsle|1997|Reference year 1997|003|All firms|1939||16508934||100||782893||183257||22939|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421130|Tire & tube whsle|1997|Reference year 1997|804|4 largest firms|104||8481710||51.4||145935||38765||2991|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421130|Tire & tube whsle|1997|Reference year 1997|808|8 largest firms|181||10395246||63||239508||59551||5063|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421130|Tire & tube whsle|1997|Reference year 1997|820|20 largest firms|261||11705726||70.9||295467||72672||6619|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421130|Tire & tube whsle|1997|Reference year 1997|850|50 largest firms|367||12873203||78||390347||94633||9168|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42114|Motor vehicle parts, (used) whsle|1997|Reference year 1997|003|All firms|7105||5272107||100||971776||228146||45807|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42114|Motor vehicle parts, (used) whsle|1997|Reference year 1997|804|4 largest firms|16||230928||4.4||25687||5792||1340|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42114|Motor vehicle parts, (used) whsle|1997|Reference year 1997|808|8 largest firms|42||370209||7||40776||9731||1877|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42114|Motor vehicle parts, (used) whsle|1997|Reference year 1997|820|20 largest firms|85||640318||12.1||82481||18979||3282|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42114|Motor vehicle parts, (used) whsle|1997|Reference year 1997|850|50 largest firms|125||1033434||19.6||133253||31111||5143|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421140|Motor vehicle parts, (used) whsle|1997|Reference year 1997|003|All firms|7105||5272107||100||971776||228146||45807|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421140|Motor vehicle parts, (used) whsle|1997|Reference year 1997|804|4 largest firms|16||230928||4.4||25687||5792||1340|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421140|Motor vehicle parts, (used) whsle|1997|Reference year 1997|808|8 largest firms|42||370209||7||40776||9731||1877|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421140|Motor vehicle parts, (used) whsle|1997|Reference year 1997|820|20 largest firms|85||640318||12.1||82481||18979||3282|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421140|Motor vehicle parts, (used) whsle|1997|Reference year 1997|850|50 largest firms|125||1033434||19.6||133253||31111||5143|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212|Furniture & home furnishings whsle|1997|Reference year 1997|003|All firms|15246||75006478||100||5316976||1225440||157465|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212|Furniture & home furnishings whsle|1997|Reference year 1997|804|4 largest firms|81||8601006||11.5||116082||31698||3058|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212|Furniture & home furnishings whsle|1997|Reference year 1997|808|8 largest firms|111||12203130||16.3||209143||57163||5108|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212|Furniture & home furnishings whsle|1997|Reference year 1997|820|20 largest firms|197||17833314||23.8||405550||102314||9304|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212|Furniture & home furnishings whsle|1997|Reference year 1997|850|50 largest firms|386||23653427||31.5||758181||188184||19393|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42121|Furniture whsle|1997|Reference year 1997|003|All firms|6697||31898583||100||2415323||555931||65930|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42121|Furniture whsle|1997|Reference year 1997|804|4 largest firms|79||4864968||15.3||110682||27481||1801|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42121|Furniture whsle|1997|Reference year 1997|808|8 largest firms|112||6461463||20.3||201559||49236||3820|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42121|Furniture whsle|1997|Reference year 1997|820|20 largest firms|188||8493785||26.6||315448||77425||6154|
