year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1985,g) 1000 to 2499,4182,83074,5451565,5346649,7915,9.657,5685,6.936,778722,209640,569082,3.921,14.565,564751,178194,386557,3.333,10.563,213971,4.002,21.125,12,91,35011
1985,h) 2500 to 4999,1574,59614,3759431,3718984,5360,9.117,3720,6.327,535466,171021,364445,4.599,14.398,454252,147410,306842,3.964,12.214,81214,2.184,24.429,D,D,D
1985,i) 5000 to 9999,980,76505,4263209,4195139,6355,8.383,4967,6.552,636590,242884,393706,5.790,15.174,499974,141391,358583,3.370,11.918,136616,3.257,23.836,0,0,0
1985,j) 10000+,1030,283019,19960530,19736174,21770,7.649,24983,8.777,2703138,831963,1871175,4.215,13.696,2264528,769054,1495474,3.897,11.474,438610,2.222,22.948,0,0,0
1986,a) 1 to 4,2432418,2441118,5939118,5773282,539014,22.469,454619,18.951,2145673,1436147,709526,24.876,37.166,1809793,1190355,619438,20.618,31.348,335880,5.818,62.695,362483,364421,976589
1986,b) 5 to 9,812965,835199,5840063,5730101,46803,5.631,38691,4.655,1375227,554141,821086,9.671,24.000,1155341,479718,675623,8.372,20.163,219886,3.837,40.325,30797,32174,409323
1986,c) 10 to 19,474469,515765,6777745,6645045,25408,4.958,18787,3.666,1428976,496981,931995,7.479,21.504,1163336,421422,741914,6.342,17.507,265640,3.998,35.014,13353,14946,359289
1986,d) 20 to 99,382758,520956,15598511,15287500,33180,6.447,20585,4.000,3034465,931579,2102886,6.094,19.849,2411656,732610,1679046,4.792,15.775,622809,4.074,31.551,7479,9659,541799
1986,e) 100 to 499,59007,208467,11290630,11159871,16324,7.891,13142,6.353,2014833,545967,1468866,4.892,18.054,1751769,439944,1311825,3.942,15.697,263064,2.357,31.394,588,1158,199748
1986,f) 500 to 999,6697,67963,4042691,4021569,6717,10.096,3850,5.787,626277,187856,438421,4.671,15.573,582984,138109,444875,3.434,14.496,43293,1.077,28.993,26,196,33555
1986,g) 1000 to 2499,4355,85575,5567745,5494053,8584,10.245,5015,5.985,810881,286412,524469,5.213,14.759,658672,147226,511446,2.680,11.989,152209,2.770,23.978,8,8,20237
1986,h) 2500 to 4999,1727,64204,3970158,3932766,6002,9.490,4089,6.465,561035,181229,379806,4.608,14.266,487051,101434,385617,2.579,12.384,73984,1.881,24.769,0,0,0
1986,i) 5000 to 9999,1036,77274,4252331,4227300,6376,8.296,5533,7.200,558587,166768,391819,3.945,13.214,508018,136816,371202,3.236,12.018,50569,1.196,24.035,D,D,D
1986,j) 10000+,1071,295646,20458949,20380277,22579,7.679,19347,6.580,2416564,756051,1660513,3.710,11.857,2260592,580986,1679606,2.851,11.092,155972,0.765,22.184,0,0,0
1987,a) 1 to 4,2459156,2466879,6005865,5857051,545699,22.466,469929,19.347,2173541,1450859,722682,24.771,37.110,1874283,1234131,640152,21.071,32.000,299258,5.109,64.001,378452,380321,1021860
1987,b) 5 to 9,829947,851118,5964220,5865668,49231,5.798,45255,5.330,1423185,570797,852388,9.731,24.263,1227019,519552,707467,8.858,20.919,196166,3.344,41.837,32926,34354,436433
1987,c) 10 to 19,486021,527535,6936503,6841215,26882,5.103,25321,4.807,1495822,518143,977679,7.574,21.865,1306104,487886,818218,7.132,19.092,189718,2.773,38.183,14887,16184,400185
1987,d) 20 to 99,390738,538055,15992161,15745776,33278,6.231,25357,4.748,3182772,984621,2198151,6.253,20.213,2690950,852747,1838203,5.416,17.090,491822,3.124,34.180,8784,10985,638887
1987,e) 100 to 499,61839,223821,12109504,11906302,21794,9.905,14202,6.455,2429304,835020,1594284,7.013,20.404,2027764,525036,1502728,4.410,17.031,401540,3.372,34.062,735,1645,252229
1987,f) 500 to 999,7180,70770,4314260,4251278,6951,9.993,4525,6.505,790385,313776,476609,7.381,18.592,662700,170178,492522,4.003,15.588,127685,3.003,31.177,27,244,36943
1987,g) 1000 to 2499,4500,85836,5794102,5780522,9560,11.356,6255,7.430,915360,387604,527756,6.705,15.835,887219,214781,672438,3.716,15.348,28141,0.487,30.697,9,273,24588
1987,h) 2500 to 4999,1818,72174,4175672,4169178,7358,10.369,4930,6.948,628991,223920,405071,5.371,15.087,616094,176118,439976,4.224,14.777,12897,0.309,29.555,D,D,D
1987,i) 5000 to 9999,1131,81841,4449138,4508231,8607,10.681,6097,7.566,640522,240568,399954,5.336,14.208,757667,190017,567650,4.215,16.806,-117145,-2.598,28.416,0,0,0
1987,j) 10000+,1108,306143,20115427,20266999,30310,9.976,25657,8.445,2634195,970145,1664050,4.787,12.997,2930594,893580,2037014,4.409,14.460,-296399,-1.462,25.995,0,0,0
1988,a) 1 to 4,2492486,2499754,6075465,5936269,539072,21.897,463287,18.819,2150000,1425143,724857,24.007,36.218,1869407,1191782,677625,20.076,31.491,280593,4.727,62.983,371674,373650,984973
1988,b) 5 to 9,849490,870224,6094719,6000822,46314,5.345,38731,4.470,1391524,544470,847054,9.073,23.189,1203948,474422,729526,7.906,20.063,187576,3.126,40.126,30780,32412,408279
1988,c) 10 to 19,500318,544002,7153464,7041546,23916,4.412,20035,3.696,1455584,483594,971990,6.868,20.671,1232504,434236,798268,6.167,17.503,223080,3.168,35.007,13970,15714,376050
1988,d) 20 to 99,402934,557348,16472103,16216339,32057,5.802,22474,4.067,3057992,890190,2167802,5.489,18.857,2545623,782684,1762939,4.827,15.698,512369,3.160,31.396,8133,10920,595540
