GEOTYPE|ST|GEO_ID|GEO_TTL|SECTOR|NAICS2012|NAICS2012_TTL|CONCENFI|CONCENFI_TTL|FOOTID_NAICS|FOOTID_GEO|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States|72|7225154|Bagel shops|820|20 largest firms|||2012|697||636040||45.2||154566||35439||10068|
01|00|0100000US|United States|72|7225154|Bagel shops|850|50 largest firms|||2012|748||717533||51.0||177615||41238||11271|
01|00|0100000US|United States|72|7225155|Coffee shops|001|All firms|||2012|19454||13229728||100.0||3118828||743724||209393|
01|00|0100000US|United States|72|7225155|Coffee shops|804|4 largest firms|||2012|7713||0|D|0|D|0|D|0|D|0|m
01|00|0100000US|United States|72|7225155|Coffee shops|808|8 largest firms|||2012|7857||9082432||68.7||2069959||496114||117688|
01|00|0100000US|United States|72|7225155|Coffee shops|820|20 largest firms|||2012|8054||9254331||70.0||2111459||505814||120847|
01|00|0100000US|United States|72|7225155|Coffee shops|850|50 largest firms|||2012|8296||9483411||71.7||2164123||518651||124503|
01|00|0100000US|United States|72|7225156|Cookie shops|001|All firms|||2012|591||214570||100.0||52159||12743||4580|
01|00|0100000US|United States|72|7225156|Cookie shops|804|4 largest firms|||2012|64||33150||15.4||5948||1700||590|
01|00|0100000US|United States|72|7225156|Cookie shops|808|8 largest firms|||2012|90||46601||21.7||9478||2572||830|
01|00|0100000US|United States|72|7225156|Cookie shops|820|20 largest firms|||2012|127||73248||34.1||15864||4002||1243|
01|00|0100000US|United States|72|7225156|Cookie shops|850|50 largest firms|||2012|188||110020||51.3||24649||6036||1965|
01|00|0100000US|United States|72|7225157|Other snack and nonalcoholic beverage bars|001|All firms|||2012|9031||6501863||100.0||1628239||370859||116560|
01|00|0100000US|United States|72|7225157|Other snack and nonalcoholic beverage bars|804|4 largest firms|||2012|1107||2579133||39.7||591091||133466||41136|
01|00|0100000US|United States|72|7225157|Other snack and nonalcoholic beverage bars|808|8 largest firms|||2012|1215||2827243||43.5||653896||147811||45522|
01|00|0100000US|United States|72|7225157|Other snack and nonalcoholic beverage bars|820|20 largest firms|||2012|1613||3222607||49.6||758679||172422||52272|
01|00|0100000US|United States|72|7225157|Other snack and nonalcoholic beverage bars|850|50 largest firms|||2012|1871||3609606||55.5||853665||194774||58278|
